national_number,version,description
0006,Yellow,"When expelling a blast of super hot fire, the red flame at the tip of its tail burns more intensely."
0006,Gold,"If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a whitish-blue color."
0006,Silver,"Breathing intense, hot flames, it can melt almost anything. Its breath inflicts terrible pain on enemies."
0006,Crystal,It uses its wings to fly high. The temperature of its fire increases as it gains experience in battle.
0006,Ruby / Sapphire,"CHARIZARD flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself."
0006,FireRed,"Its wings can carry this POKéMON close to an altitude of 4,600 feet. It blows out fire at very high temperatures."
0006,LeafGreen,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.
0006,Emerald,"A CHARIZARD flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe."
0006,Diamond / Pearl / Platinum,It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.
0006,HeartGold,"If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade."
0006,SoulSilver,"Breathing intense, hot flames, it can melt almost anything. Its breath inflicts terrible pain on enemies."
0006,Black / White / Black 2 / White 2,It is said that Charizard’s fire burns hotter if it has experienced harsh battles.
0006,X,"When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely."
0006,Y,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."
0006,Omega Ruby / Alpha Sapphire,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself."
0006,Let's Go Pikachu / Let's Go Eevee,"When this Pokémon expels a blast of superhot fire, the red flame at the tip of its tails burns more intensely."
0006,Sword,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.
0006,Shield,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."
0006,Brilliant Diamond / Shining Pearl,It is said that Charizard’s fire burns hotter if it has experienced harsh battles.
0007,Red / Blue,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
0007,Yellow,Shoots water at prey while in the water. Withdraws into its shell when in danger.
0007,Gold,"The shell is soft when it is born. It soon becomes so resilient, prodding fingers will bounce off it."
0007,Silver,"The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out."
0007,Crystal,"When it feels threatened, it draws its legs inside its shell and sprays water from its mouth."
0007,Ruby / Sapphire,"SQUIRTLE’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this POKéMON to swim at high speeds."
0007,FireRed,"When it retracts its long neck into its shell, it squirts out water with vigorous force."
0007,LeafGreen,"After birth, its back swells and hardens into a shell. It powerfully sprays foam from its mouth."
0007,Emerald,"Its shell is not just for protection. Its rounded shape and the grooves on its surface minimize resistance in water, enabling SQUIRTLE to swim at high speeds."
0007,Diamond / Pearl / Platinum,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity."
0007,HeartGold,"The shell is soft when it is born. It soon becomes so resilient, prodding fingers will bounce off it."
0007,SoulSilver,"The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out."
0007,Black / White,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity."
0007,Black 2 / White 2,It shelters itself in its shell then strikes back with spouts of water at every opportunity.
0007,X,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity."
0007,Y,Shoots water at prey while in the water. Withdraws into its shell when in danger.
0007,Omega Ruby / Alpha Sapphire,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds."
0007,Let's Go Pikachu / Let's Go Eevee,Shoots water at prey while in the water. Withdraws into its shell when in danger.
0007,Sword,"When it retracts its long neck into its shell, it squirts out water with vigorous force."
0007,Shield,"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth."
0007,Brilliant Diamond / Shining Pearl,"It hides in its shell to protect itself, then strikes back with spouts of water at every opportunity."
0008,Red / Blue,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
0008,Yellow,"When tapped, this POKéMON will pull in its head, but its tail will still stick out a little bit."
0008,Gold,"It is recognized as a symbol of longevity. If its shell has algae on it, that WARTORTLE is very old."
0008,Silver,It cleverly controls its furry ears and tail to maintain its balance while swimming.
0008,Crystal,"Its long, furry tail is a symbol of longevity, making it quite popular among older people."
0008,Ruby / Sapphire,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as WARTORTLE ages. The scratches on its shell are evidence of this POKéMON’s toughness as a battler."
0008,FireRed,This POKéMON is very popular as a pet. Its fur-covered tail is a symbol of its longevity.
0008,LeafGreen,"It often hides in water to stalk unwary prey. For fast swimming, it moves its ears to maintain balance."
0008,Emerald,"Its large tail is covered with rich, thick fur that deepens in color with age. The scratches on its shell are evidence of this POKéMON’s toughness in battle."
0008,Diamond / Pearl / Platinum,"It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity."
0008,HeartGold,"It is a well-established symbol of longevity. If its shell has algae on it, that WARTORTLE is very old."
0008,SoulSilver,It cleverly controls its furry ears and tail to maintain its balance while swimming.
0008,Black / White / Black 2 / White 2,"It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity."
0008,X,"When tapped, this Pokémon will pull in its head, but its tail will still stick out a little bit."
0008,Y,"It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity."
0008,Omega Ruby / Alpha Sapphire,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler."
0008,Let's Go Pikachu / Let's Go Eevee,"When tapped on its head, this Pokémon will pull it in, but its tail will stick out a little bit."
0008,Sword,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old."
0008,Shield,It cleverly controls its furry ears and tail to maintain its balance while swimming.
0008,Brilliant Diamond / Shining Pearl,"It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity."
0009,Red / Blue,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.
0009,Yellow,"Once it takes aim at its enemy, it blasts out water with even more force than a fire hose."
0009,Gold,It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires.
0009,Silver,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.
0009,Crystal,It firmly plants its feet on the ground before shooting water from the jets on its back.
0009,Ruby / Sapphire,BLASTOISE has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.
0009,FireRed,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell."
0009,LeafGreen,The pressurized water jets on this brutal POKéMON’s shell are used for high-speed tackles.
0009,Emerald,The waterspouts that protrude from its shell are highly accurate. Their bullets of water can precisely nail tin cans from a distance of over 160 feet.
0009,Diamond / Pearl / Platinum,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.
0009,HeartGold,It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires.
0009,SoulSilver,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.
0009,Black / White / Black 2 / White 2,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.
0009,X,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell."
0009,Y,The pressurized water jets on this brutal Pokémon’s shell are used for high-speed tackles.
0009,Omega Ruby / Alpha Sapphire,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.
0009,Let's Go Pikachu / Let's Go Eevee,"Once it takes aim at its enemy, it blasts out water with even more force than a fire hose."
0009,Sword,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell."
0009,Shield,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.
0009,Brilliant Diamond / Shining Pearl,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.
0010,Red / Blue,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
0010,Yellow,"If you touch the feeler on top of its head, it will release a horrible stink to protect itself."
0010,Gold,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies."
0010,Silver,Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage.
0010,Crystal,It crawls into foliage where it camouflages itself among leaves that are the same color as its body.
0010,Ruby / Sapphire,"CATERPIE has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this POKéMON releases a terrifically strong odor."
0010,FireRed,"It is covered with a green skin. When it grows, it sheds the skin, covers itself with silk, and becomes a cocoon."
0010,LeafGreen,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
0010,Emerald,Its voracious appetite compels it to devour leaves bigger than itself without hesitation. It releases a terribly strong odor from its antennae.
0010,Diamond / Pearl / Platinum,It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.
0010,HeartGold,"For protection, it releases a horrible stench from the antennae on its head to drive away enemies."
0010,SoulSilver,Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage.
0010,Black / White / Black 2 / White 2,It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.
0010,X,"For protection, it releases a horrible stench from the antennae on its head to drive away enemies."
0010,Y,Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage.
0010,Omega Ruby / Alpha Sapphire,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor."
0010,Sun,"When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey."
0010,Moon,"It’s easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokémon Trainers."
0010,Ultra Sun,"Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day."
0010,Ultra Moon,"Its body is soft and weak. In nature, its perpetual fate is to be seen by others as food."
0010,Let's Go Pikachu / Let's Go Eevee,"If you touch the feeler on top of its head, it will release a horrible stink to protect itself."
0010,Sword,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies."
0010,Shield,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
0010,Brilliant Diamond / Shining Pearl,It releases a stench from its red antennae to repel enemies. It grows by molting repeatedly.
0011,Red / Blue,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."
0011,Yellow,"Hardens its shell to protect itself. However, a large impact may cause it to pop out of its shell."
0011,Gold,"Inside the shell, it is soft and weak as it prepares to evolve. It stays motionless in the shell."
0011,Silver,It prepares for evolution by hardening its shell as much as possible to protect its soft body.
0011,Crystal,"This is its pre-evolved form. At this stage, it can only harden, so it remains motionless to avoid attack."
0011,Ruby / Sapphire,The shell covering this POKéMON’s body is as hard as an iron slab. METAPOD does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.
0011,FireRed,"Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack."
0011,LeafGreen,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."
0011,Emerald,Its shell is as hard as an iron slab. A METAPOD does not move very much because it is preparing its soft innards for evolution inside the shell.
0011,Diamond / Pearl / Platinum,A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.
0011,HeartGold,"Inside the shell, it is soft and weak as it prepares to evolve. It stays motionless in the shell."
0011,SoulSilver,It prepares for evolution by hardening its shell as much as possible to protect its soft body.
0011,Black / White / Black 2 / White 2,A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.
0011,X,A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.
0011,Y,"This Pokémon is vulnerable to attack while its shell is soft, exposing its weak and tender body."
0011,Omega Ruby / Alpha Sapphire,The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.
0011,Sun,Its shell is filled with its soft innards. It doesn’t move much because of the risk it might carelessly spill its innards out.
0011,Moon,"Its shell is hard, but it’s still just a bug shell. It’s been known to break, so intense battles with it should be avoided."
0011,Ultra Sun,Its shell is filled with a thick liquid. All of the cells throughout its body are being rebuilt in preparation for evolution.
0011,Ultra Moon,"Its hard shell doesn’t crack a bit even if Pikipek pecks at it, but it will tip over, spilling out its insides."
0011,Let's Go Pikachu / Let's Go Eevee,"Hardens its shell to protect itself. However, a large impact may cause it to pop out of its shell."
0011,Sword,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack."
0011,Shield,"Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack."
0011,Brilliant Diamond / Shining Pearl,A steel-hard shell protects its tender body. The Pokémon quietly endures hardships while awaiting evolution.
0012,Red / Blue,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
0012,Yellow,"Its wings, covered with poisonous powders, repel water. This allows it to fly in the rain."
0012,Gold,It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.
0012,Silver,"Water-repellent powder on its wings enables it to collect honey, even in the heaviest of rains."
0012,Crystal,"It flits from flower to flower, collecting honey. It can even identify distant flowers in bloom."
0012,Ruby / Sapphire,"BUTTERFREE has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest."
0012,FireRed,"The wings are protected by rain-repellent dust. As a result, this POKéMON can fly about even in rain."
0012,LeafGreen,"In battle, it flaps its wings at great speed to release highly toxic dust into the air."
0012,Emerald,"It has a superior ability to search for delicious honey from flowers. It can seek, extract, and carry honey from flowers blooming over six miles away."
0012,Diamond / Pearl / Platinum,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.
0012,HeartGold,It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.
0012,SoulSilver,"Water-repellent powder on its wings enables it to collect honey, even in the heaviest of rains."
0012,Black / White / Black 2 / White 2,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.
0012,X,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.
0012,Y,"The wings are protected by rain-repellent dust. As a result, this Pokémon can fly about even in rain."
0012,Omega Ruby / Alpha Sapphire,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest."
0012,Sun,Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.
0012,Moon,"When attacked by other Pokémon, it defends itself by scattering its poisonous scales and fluttering its wings."
0012,Ultra Sun,"Its wings are covered in toxic scales. If it finds bird Pokémon going after Caterpie, Butterfree sprinkles its scales on them to drive them off."
0012,Ultra Moon,"Nectar from pretty flowers is its favorite food. In fields of flowers, it has heated battles with Cutiefly for territory."
0012,Let's Go Pikachu / Let's Go Eevee,"Its wings, covered with poisonous powder, repel water. This allows it to fly in the rain."
0012,Sword,"In battle, it flaps its wings at great speed to release highly toxic dust into the air."
0012,Shield,It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.
0012,Brilliant Diamond / Shining Pearl,It loves the nectar of flowers and can locate flower patches that have even tiny amounts of pollen.
0013,Red / Blue,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
0013,Yellow,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.
0013,Gold,Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.
0013,Silver,It attacks using a two-inch poison barb on its head. It can usually be found under the leaves it eats.
0013,Crystal,The barb on top of its head secretes a strong poison. It uses this toxic barb to protect itself.
0013,Ruby / Sapphire,WEEDLE has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).
0013,FireRed,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head."
0013,LeafGreen,"Often found in forests, eating leaves. It has a sharp stinger on its head that injects poison."
0013,Emerald,A WEEDLE has an extremely acute sense of smell. It distinguishes its favorite kinds of leaves from those it dislikes by sniffing with its big red proboscis (nose).
0013,Diamond / Pearl / Platinum,It eats its weight in leaves every day. It fends off attackers with the needle on its head.
0013,HeartGold,Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.
0013,SoulSilver,It attacks using a two-inch poison barb on its head. It can usually be found under the leaves it eats.
0013,Black / White / Black 2 / White 2,It eats its weight in leaves every day. It fends off attackers with the needle on its head.
0013,X,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head."
0013,Y,Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.
0013,Omega Ruby / Alpha Sapphire,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).
0013,Let's Go Pikachu / Let's Go Eevee,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.
0013,Brilliant Diamond / Shining Pearl,It eats its weight in leaves every day. It fends off attackers with the needle on its head.
0014,Red / Blue,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators."
0014,Yellow,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy."
0014,Gold,"Although it is a cocoon, it can move a little. It can extend its poison barb if it is attacked."
0014,Silver,"From this form, it will grow into an adult. As its body becomes softer, the external shell hardens."
0014,Crystal,"Nearly incapable of movement, it leans against stout trees while waiting for its evolution."
0014,Ruby / Sapphire,"KAKUNA remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch."
0014,FireRed,This POKéMON is in a temporary stage while making its body. It is almost completely unable to move on its own.
0014,LeafGreen,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself when it is in danger."
0014,Emerald,"It remains virtually immobile while it clings to a tree. However, on the inside, it busily prepares for evolution. This is evident from how hot its shell becomes."
0014,Diamond / Pearl / Platinum,"While awaiting evolution, it hides from predators under leaves and in nooks of branches."
